person_id,gender,age,race,ethnicity,education_level,income,home_owner_flag,dependents_flag
1,Male,24,White,Hispanic or Latino,Some College,18853,false,true
2,Female,76,White,Not Hispanic or Latino,Doctorate,1008530,false,false
3,Female,48,White,Hispanic or Latino,Bachelor,88629,true,false
4,Male,33,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Doctorate,656876,true,true
5,Male,85,White,Not Hispanic or Latino,Bachelor,45112,true,true
6,Female,44,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,652005,false,true
7,Female,53,White,Not Hispanic or Latino,Master,222074,false,true
8,Female,61,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,90017,false,false
9,Male,85,White,Hispanic or Latino,Master,159753,false,true
10,Female,19,White,Hispanic or Latino,High School,10229,true,true
11,Female,21,Asian,Hispanic or Latino,High School,10418,true,false
12,Male,80,American Indian or Alaska Native,Hispanic or Latino,Bachelor,32338,false,false
13,Female,84,Asian,Not Hispanic or Latino,Doctorate,83585,true,true
14,Female,23,Asian,Hispanic or Latino,Some College,16967,false,true
15,Male,54,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Master,68527,true,true
16,Male,21,White,Hispanic or Latino,Some College,17608,false,true
17,Female,43,American Indian or Alaska Native,Not Hispanic or Latino,Master,96102,true,false
18,Female,23,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,GED,12618,true,true
19,Male,22,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Some College,18158,true,true
20,Male,18,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Some College,17886,false,true
21,Male,41,Asian,Not Hispanic or Latino,Doctorate,1039256,false,true
22,Male,64,Black or African American,Hispanic or Latino,Bachelor,42805,false,true
23,Female,56,Black or African American,Not Hispanic or Latino,Doctorate,851150,false,true
24,Male,80,American Indian or Alaska Native,Not Hispanic or Latino,Master,195263,false,false
25,Female,79,White,Not Hispanic or Latino,Bachelor,36886,false,false
26,Male,51,White,Hispanic or Latino,Bachelor,57232,true,false
27,Male,85,American Indian or Alaska Native,Hispanic or Latino,Doctorate,827749,true,true
28,Female,40,White,Not Hispanic or Latino,Master,213905,true,true
29,Male,50,White,Not Hispanic or Latino,Master,89638,false,false
30,Male,20,American Indian or Alaska Native,Hispanic or Latino,High School,10969,false,true
31,Male,62,Asian,Hispanic or Latino,Bachelor,106887,false,false
32,Male,44,Asian,Not Hispanic or Latino,Bachelor,129034,false,true
33,Male,84,Black or African American,Hispanic or Latino,Doctorate,401253,false,true
34,Male,74,White,Not Hispanic or Latino,Master,94538,true,false
35,Male,30,Black or African American,Not Hispanic or Latino,Doctorate,848738,true,true
36,Male,20,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,GED,12657,false,true
37,Female,54,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Doctorate,635534,false,true
38,Female,81,White,Hispanic or Latino,Bachelor,106015,true,true
