person_id,gender,age,race,ethnicity,education_level,income,home_owner_flag,dependents_flag
1,Female,27,White,Not Hispanic or Latino,Some College,16106,true,false
2,Female,80,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,45902,false,true
3,Male,44,American Indian or Alaska Native,Not Hispanic or Latino,Master,216902,false,false
4,Male,83,Asian,Hispanic or Latino,Doctorate,935692,true,true
5,Male,73,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Bachelor,71542,true,true
6,Female,31,Asian,Hispanic or Latino,Bachelor,44044,true,false
7,Male,83,Black or African American,Hispanic or Latino,Master,159865,true,false
8,Male,83,Black or African American,Hispanic or Latino,Master,153373,true,true
9,Female,73,Black or African American,Hispanic or Latino,Master,125545,false,false
10,Female,28,Black or African American,Not Hispanic or Latino,Bachelor,40555,false,false
11,Male,75,American Indian or Alaska Native,Hispanic or Latino,Master,152940,true,true
12,Male,41,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,105700,true,true
13,Female,32,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Bachelor,86973,true,false
14,Female,33,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Master,114009,true,false
15,Female,49,Asian,Hispanic or Latino,Master,153976,true,false
16,Female,25,Black or African American,Not Hispanic or Latino,High School,10441,true,false
17,Male,73,Asian,Hispanic or Latino,Master,146144,true,false
18,Male,32,American Indian or Alaska Native,Not Hispanic or Latino,Doctorate,819924,false,true
19,Male,81,Asian,Not Hispanic or Latino,Doctorate,542666,true,false
20,Male,25,Asian,Not Hispanic or Latino,Some College,19046,false,true
21,Female,23,American Indian or Alaska Native,Not Hispanic or Latino,Some College,16336,true,true
22,Male,60,Black or African American,Not Hispanic or Latino,Bachelor,39946,false,false
23,Female,24,American Indian or Alaska Native,Not Hispanic or Latino,Some College,17412,true,false
24,Female,34,Black or African American,Hispanic or Latino,Bachelor,43661,false,true
25,Female,65,Black or African American,Not Hispanic or Latino,Bachelor,125786,true,false
